nazwa;nazwa ogólna ;kolor;Cena brutto:;szerokosc profilu1;szerokosc profilu2;width;height
KSP_018_10x449x183;ściana pionowa;fornir orzech mat;264 ;420;420;;
KSP_019_10x449x449;ściana pionowa;fornir orzech mat;535 ;479;79;;
KSP_020_10x508x108;ściana pionowa;fornir orzech mat;208 ;479;154;;
KSP_021_10x508x183;ściana pionowa;fornir orzech mat;292 ;79;729;;
KSP_022_10x108x758;ściana pionowa;fornir orzech mat;294 ;154;729;;
KSP_023_10x183x758;ściana pionowa;fornir orzech mat;415 ;229;729;;
KSP_024_10x258x758;ściana pionowa;fornir orzech mat;538 ;329;729;;
KSP_025_10x358x758;ściana pionowa;fornir orzech mat;701 ;374;729;;
KSP_026_10x403x758;ściana pionowa;fornir orzech mat;774 ;420;729;;
KSP_028_10x258x386;ściana pionowa;fornir orzech mat;299 ;329;523;;
KSP_029_10x358x552;ściana pionowa;fornir orzech mat;528 ;229;523;;
KSP_030_10x258x552;ściana pionowa;fornir orzech mat;406 ;229;340;;
KSP_031_10x258x369;ściana pionowa;fornir orzech mat;289 ;218;479;;
KSP_032_10x247x508;ściana pionowa;fornir orzech mat;365 ;79;79;;
KSP_033_10x108x108;ściana pionowa;fornir orzech mat;71 ;229;479;;
KSP_040_10x258x508;ściana pionowa;fornir orzech mat;462 ;79;154;;
KSP_041_10x79x154;ściana pionowa;fornir orzech mat;55 ;79;523;;
KSP_042_10x79x523;ściana pionowa;fornir orzech mat;155 ;154;154;;
KSP_043_10x154x154;ściana pionowa;fornir orzech mat;95 ;329;479;;
KSP_044_10x329x479;ściana pionowa;fornir orzech mat;553 ;420;479;;
KSP_045_10x420x479;ściana pionowa;fornir orzech mat;702 ;420;523;;
KSP_046_10x420x523;ściana pionowa;fornir orzech mat;765 ;479;479;;
KSP_047_10x479x479;ściana pionowa;fornir orzech mat;799 ;479;523;;
KSP_048_10x479x523;ściana pionowa;fornir orzech mat;871 ;479;729;;
KSP_049_10x479x729;ściana pionowa;fornir orzech mat;1208 ;523;523;;
KSP_050_10x523x523;ściana pionowa;fornir orzech mat;949 ;523;729;;
KSP_051_10x523x729;ściana pionowa;fornir orzech mat;1318 ;729;729;;
KSP_052_10x729x729;ściana pionowa;fornir orzech mat;1832 ;229;79;;
KSP_001_10x258x108;ściana pionowa;fornir orzech polysk;167 ;229;154;;
KSP_002_10x258x183;ściana pionowa;fornir orzech polysk;248 ;229;229;;
KSP_003_10x258x258;ściana pionowa;fornir orzech polysk;328 ;229;329;;
KSP_004_10x258x358;ściana pionowa;fornir orzech polysk;435 ;229;374;;
KSP_005_10x258x403;ściana pionowa;fornir orzech polysk;481 ;229;420;;
KSP_006_10x258x449;ściana pionowa;fornir orzech polysk;531 ;329;79;;
KSP_007_10x358x108;ściana pionowa;fornir orzech polysk;221 ;329;154;;
KSP_008_10x358x183;ściana pionowa;fornir orzech polysk;328 ;329;329;;
KSP_009_10x358x358;ściana pionowa;fornir orzech polysk;577 ;329;374;;
KSP_010_10x358x403;ściana pionowa;fornir orzech polysk;642 ;329;420;;
KSP_011_10x358x449;ściana pionowa;fornir orzech polysk;706 ;374;79;;
KSP_012_10x403x108;ściana pionowa;fornir orzech polysk;244 ;374;154;;
KSP_013_10x403x183;ściana pionowa;fornir orzech polysk;363 ;374;329;;
KSP_014_10x403x358;ściana pionowa;fornir orzech polysk;642 ;374;374;;
KSP_015_10x403x403;ściana pionowa;fornir orzech polysk;713 ;374;420;;
KSP_016_10x403x449;ściana pionowa;fornir orzech polysk;786 ;420;79;;
KSP_017_10x449x108;ściana pionowa;fornir orzech polysk;267 ;420;154;;
KSP_018_10x449x183;ściana pionowa;fornir orzech polysk;399 ;420;420;;
KSP_019_10x449x449;ściana pionowa;fornir orzech polysk;866 ;479;79;;
KSP_020_10x508x108;ściana pionowa;fornir orzech polysk;297 ;479;154;;
KSP_021_10x508x183;ściana pionowa;fornir orzech polysk;445 ;79;729;;
KSP_022_10x108x758;ściana pionowa;fornir orzech polysk;428 ;154;729;;
KSP_023_10x183x758;ściana pionowa;fornir orzech polysk;643 ;229;729;;
KSP_024_10x258x758;ściana pionowa;fornir orzech polysk;859 ;329;729;;
KSP_025_10x358x758;ściana pionowa;fornir orzech polysk;1146 ;374;729;;
KSP_026_10x403x758;ściana pionowa;fornir orzech polysk;1277 ;420;729;;
KSP_028_10x258x386;ściana pionowa;fornir orzech polysk;463 ;329;523;;
KSP_029_10x358x552;ściana pionowa;fornir orzech polysk;854 ;229;523;;
KSP_032_10x247x508;ściana pionowa;fornir orzech polysk;572 ;79;79;;
KSP_033_10x108x108;ściana pionowa;fornir orzech polysk;91 ;229;479;;
KSP_040_10x258x508;ściana pionowa;fornir orzech polysk;676 ;79;154;;
KSP_041_10x79x154;ściana pionowa;fornir orzech polysk;75 ;79;523;;
KSP_042_10x79x523;ściana pionowa;fornir orzech polysk;223 ;154;154;;
KSP_043_10x154x154;ściana pionowa;fornir orzech polysk;134 ;329;479;;
KSP_044_10x329x479;ściana pionowa;fornir orzech polysk;810 ;420;479;;
KSP_045_10x420x479;ściana pionowa;fornir orzech polysk;1031 ;420;523;;
KSP_046_10x420x523;ściana pionowa;fornir orzech polysk;1124 ;479;479;;
KSP_047_10x479x479;ściana pionowa;fornir orzech polysk;1174 ;479;523;;
KSP_048_10x479x523;ściana pionowa;fornir orzech polysk;1280 ;479;729;;
KSP_049_10x479x729;ściana pionowa;fornir orzech polysk;1779 ;523;523;;
KSP_050_10x523x523;ściana pionowa;fornir orzech polysk;1396 ;523;729;;
KSP_051_10x523x729;ściana pionowa;fornir orzech polysk;1941 ;729;729;;
KSP_052_10x729x729;ściana pionowa;fornir orzech polysk;2700 ;329;229;;
KSP_057_10x523x374;ściana pionowa;PC mat;188;374;523;;
KSP_058_10x523x154;ściana pionowa;PC mat;188;154;523;;
KSP_055_10x479x374;ściana pionowa;PC mat;180 ;479;374;;
KSPO_001_12x362x262;półka - poziom;PC mat;206 ;329;329;;
KSPO_002_12x362x362;półka - poziom;PC mat;262 ;329;374;;
KSPO_003_12x362x407;półka - poziom;PC mat;287 ;329;420;;
KSPO_004_12x362x453;półka - poziom;PC mat;312 ;329;479;;
KSPO_005_12x362x512;półka - poziom;PC mat;344 ;329;523;;
KSPO_006_12x362x556;półka - poziom;PC mat;367 ;329;729;;
KSPO_007_12x362x762;półka - poziom;PC mat;481 ;374;229;;
KSPO_008_12x407x262;półka - poziom;PC mat;226 ;374;374;;
KSPO_009_12x407x407;półka - poziom;PC mat;314 ;374;420;;
KSPO_010_12x407x453;półka - poziom;PC mat;340 ;374;479;;
KSPO_011_12x407x512;półka - poziom;PC mat;376 ;374;523;;
KSPO_012_12x407x556;półka - poziom;PC mat;403 ;374;729;;
KSPO_013_12x407x762;półka - poziom;PC mat;526 ;329;523;;
KSPO_017_12x362x625;półka - poziom;PC mat;412 ;329;229;;
KSPO_001_12x362x262;półka - poziom;PC polysk;262 ;329;329;;
KSPO_002_12x362x362;półka - poziom;PC polysk;337 ;329;374;;
KSPO_003_12x362x407;półka - poziom;PC polysk;371 ;329;420;;
KSPO_004_12x362x453;półka - poziom;PC polysk;406 ;329;479;;
KSPO_005_12x362x512;półka - poziom;PC polysk;451 ;329;523;;
KSPO_006_12x362x556;półka - poziom;PC polysk;485 ;329;729;;
KSPO_007_12x362x762;półka - poziom;PC polysk;640 ;374;229;;
KSPO_008_12x407x262;półka - poziom;PC polysk;289 ;374;374;;
KSPO_009_12x407x407;półka - poziom;PC polysk;408 ;374;420;;
KSPO_010_12x407x453;półka - poziom;PC polysk;447 ;374;479;;
KSPO_011_12x407x512;półka - poziom;PC polysk;497 ;374;523;;
KSPO_012_12x407x556;półka - poziom;PC polysk;533 ;374;729;;
KSPO_013_12x407x762;półka - poziom;PC polysk;706 ;329;523;;
KSPO_017_12x362x625;półka - poziom;PC polysk;544 ;329;229;;
KSPO_001_12x362x262;półka - poziom;fornir dab mat;267 ;329;329;;
KSPO_002_12x362x362;półka - poziom;fornir dab mat;346 ;329;374;;
KSPO_003_12x362x407;półka - poziom;fornir dab mat;379 ;329;420;;
KSPO_004_12x362x453;półka - poziom;fornir dab mat;415 ;329;479;;
KSPO_005_12x362x512;półka - poziom;fornir dab mat;462 ;329;523;;
KSPO_006_12x362x556;półka - poziom;fornir dab mat;495 ;329;729;;
KSPO_007_12x362x762;półka - poziom;fornir dab mat;656 ;374;229;;
KSPO_008_12x407x262;półka - poziom;fornir dab mat;294 ;374;374;;
KSPO_009_12x407x407;półka - poziom;fornir dab mat;419 ;374;420;;
KSPO_010_12x407x453;półka - poziom;fornir dab mat;458 ;374;479;;
KSPO_011_12x407x512;półka - poziom;fornir dab mat;510 ;374;523;;
KSPO_012_12x407x556;półka - poziom;fornir dab mat;547 ;374;729;;
KSPO_013_12x407x762;półka - poziom;fornir dab mat;724 ;329;523;;
KSPO_017_12x362x625;półka - poziom;fornir dab mat;558 ;329;229;;
KSPO_001_12x362x262;półka - poziom;fornir orzech mat;281 ;329;329;;
KSPO_002_12x362x362;półka - poziom;fornir orzech mat;365 ;329;374;;
KSPO_003_12x362x407;półka - poziom;fornir orzech mat;403 ;329;420;;
KSPO_004_12x362x453;półka - poziom;fornir orzech mat;442 ;329;479;;
KSPO_005_12x362x512;półka - poziom;fornir orzech mat;492 ;329;523;;
KSPO_006_12x362x556;półka - poziom;fornir orzech mat;528 ;329;729;;
KSPO_007_12x362x762;półka - poziom;fornir orzech mat;701 ;374;229;;
KSPO_008_12x407x262;półka - poziom;fornir orzech mat;310 ;374;374;;
KSPO_009_12x407x407;półka - poziom;fornir orzech mat;456 ;374;420;;
KSPO_010_12x407x453;półka - poziom;fornir orzech mat;487 ;374;479;;
KSPO_011_12x407x512;półka - poziom;fornir orzech mat;542 ;374;523;;
KSPO_012_12x407x556;półka - poziom;fornir orzech mat;583 ;374;729;;
KSPO_013_12x407x762;półka - poziom;fornir orzech mat;774 ;329;523;;
KSPO_017_12x362x625;półka - poziom;fornir orzech mat;594 ;329;229;;
KSPO_001_12x362x262;półka - poziom;fornir orzech polysk;435 ;329;329;;
KSPO_002_12x362x362;półka - poziom;fornir orzech polysk;577 ;329;374;;
KSPO_003_12x362x407;półka - poziom;fornir orzech polysk;642 ;329;420;;
KSPO_004_12x362x453;półka - poziom;fornir orzech polysk;706 ;329;479;;
KSPO_005_12x362x512;półka - poziom;fornir orzech polysk;791 ;329;523;;
KSPO_006_12x362x556;półka - poziom;fornir orzech polysk;854 ;329;729;;
KSPO_007_12x362x762;półka - poziom;fornir orzech polysk;1146 ;374;229;;
KSPO_008_12x407x262;półka - poziom;fornir orzech polysk;481 ;374;374;;
KSPO_009_12x407x407;półka - poziom;fornir orzech polysk;713 ;374;420;;
KSPO_010_12x407x453;półka - poziom;fornir orzech polysk;786 ;374;479;;
KSPO_011_12x407x512;półka - poziom;fornir orzech polysk;879 ;374;523;;
KSPO_012_12x407x556;półka - poziom;fornir orzech polysk;948 ;374;729;;
KSPO_013_12x407x762;półka - poziom;fornir orzech polysk;1277 ;329;523;;
KSZ_001;Szuflada zewnętrzna;PC mat;1027 ;;;229;79
KSZ_002;Szuflada zewnętrzna;PC mat;1071 ;;;329;79
KSZ_003;Szuflada zewnętrzna;PC mat;1091 ;;;374;79
KSZ_004;Szuflada zewnętrzna;PC mat;1111 ;;;420;79
KSZ_005;Szuflada zewnętrzna;PC mat;1136 ;;;479;79
KSZ_006;Szuflada zewnętrzna;PC mat;1155 ;;;523;79
KSZ_007;Szuflada zewnętrzna;PC mat;1246 ;;;729;79
KSZ_008;Szuflada zewnętrzna;PC mat;1066 ;;;229;154
KSZ_009;Szuflada zewnętrzna;PC mat;1120 ;;;329;154
KSZ_010;Szuflada zewnętrzna;PC mat;1143 ;;;374;154
KSZ_011;Szuflada zewnętrzna;PC mat;1168 ;;;420;154
KSZ_012;Szuflada zewnętrzna;PC mat;1200 ;;;479;154
KSZ_013;Szuflada zewnętrzna;PC mat;1223 ;;;523;154
KSZ_014;Szuflada zewnętrzna;PC mat;1335 ;;;729;154
KSZ_015;Szuflada zewnętrzna;PC mat;1102 ;;;229;229
KSZ_016;Szuflada zewnętrzna;PC mat;1164 ;;;329;229
KSZ_017;Szuflada zewnętrzna;PC mat;1193 ;;;374;229
KSZ_018;Szuflada zewnętrzna;PC mat;1221 ;;;420;229
KSZ_019;Szuflada zewnętrzna;PC mat;1257 ;;;479;229
KSZ_020;Szuflada zewnętrzna;PC mat;1284 ;;;523;229
KSZ_021;Szuflada zewnętrzna;PC mat;1412 ;;;729;229
KSZ_022;Szuflada zewnętrzna;PC mat;1154 ;;;229;329
KSZ_023;Szuflada zewnętrzna;PC mat;1227 ;;;329;329
KSZ_024;Szuflada zewnętrzna;PC mat;1261 ;;;374;329
KSZ_025;Szuflada zewnętrzna;PC mat;1294 ;;;420;329
KSZ_026;Szuflada zewnętrzna;PC mat;1339 ;;;479;329
KSZ_027;Szuflada zewnętrzna;PC mat;1371 ;;;523;329
KSZ_028;Szuflada zewnętrzna;PC mat;1525 ;;;729;329
KSZ_029;Szuflada zewnętrzna;PC mat;1179 ;;;229;374
KSZ_030;Szuflada zewnętrzna;PC mat;1259 ;;;329;374
KSZ_031;Szuflada zewnętrzna;PC mat;1294 ;;;374;374
KSZ_032;Szuflada zewnętrzna;PC mat;1330 ;;;420;374
KSZ_033;Szuflada zewnętrzna;PC mat;1378 ;;;479;374
KSZ_034;Szuflada zewnętrzna;PC mat;1414 ;;;523;374
KSZ_035;Szuflada zewnętrzna;PC mat;1578 ;;;729;374
KSZ_036;Szuflada zewnętrzna;PC mat;1211 ;;;229;420
KSZ_037;Szuflada zewnętrzna;PC mat;1298 ;;;329;420
KSZ_038;Szuflada zewnętrzna;PC mat;1337 ;;;374;420
KSZ_039;Szuflada zewnętrzna;PC mat;1376 ;;;420;420
KSZ_040;Szuflada zewnętrzna;PC mat;1426 ;;;479;420
KSZ_041;Szuflada zewnętrzna;PC mat;1466 ;;;523;420
KSZ_042;Szuflada zewnętrzna;PC mat;1642 ;;;729;420
KSZ_001;Szuflada zewnętrzna;PC polysk;1027 ;;;229;79
KSZ_002;Szuflada zewnętrzna;PC polysk;1071 ;;;329;79
KSZ_003;Szuflada zewnętrzna;PC polysk;1091 ;;;374;79
KSZ_004;Szuflada zewnętrzna;PC polysk;1111 ;;;420;79
KSZ_005;Szuflada zewnętrzna;PC polysk;1136 ;;;479;79
KSZ_006;Szuflada zewnętrzna;PC polysk;1155 ;;;523;79
KSZ_007;Szuflada zewnętrzna;PC polysk;1246 ;;;729;79
KSZ_008;Szuflada zewnętrzna;PC polysk;1066 ;;;229;154
KSZ_009;Szuflada zewnętrzna;PC polysk;1120 ;;;329;154
KSZ_010;Szuflada zewnętrzna;PC polysk;1143 ;;;374;154
KSZ_011;Szuflada zewnętrzna;PC polysk;1168 ;;;420;154
KSZ_012;Szuflada zewnętrzna;PC polysk;1200 ;;;479;154
KSZ_013;Szuflada zewnętrzna;PC polysk;1223 ;;;523;154
KSZ_014;Szuflada zewnętrzna;PC polysk;1335 ;;;729;154
KSZ_015;Szuflada zewnętrzna;PC polysk;1102 ;;;229;229
KSZ_016;Szuflada zewnętrzna;PC polysk;1164 ;;;329;229
KSZ_017;Szuflada zewnętrzna;PC polysk;1193 ;;;374;229
KSZ_018;Szuflada zewnętrzna;PC polysk;1221 ;;;420;229
KSZ_019;Szuflada zewnętrzna;PC polysk;1257 ;;;479;229
