nazwa;nazwa og??lna ;kolor;Cena brutto:;szerokosc profilu1;szerokosc profilu2;width;height
KSP_043_10x154x154;?õciana pionowa;PC polysk;105;329;479;;
KSP_044_10x329x479;?õciana pionowa;PC polysk;415;420;479;;
KSP_045_10x420x479;?õciana pionowa;PC polysk;505;420;523;;
KSP_046_10x420x523;?õciana pionowa;PC polysk;546;479;479;;
KSP_047_10x479x479;?õciana pionowa;PC polysk;564;479;523;;
KSP_048_10x479x523;?õciana pionowa;PC polysk;608;479;729;;
KSP_049_10x479x729;?õciana pionowa;PC polysk;815;523;523;;
KSP_050_10x523x523;?õciana pionowa;PC polysk;656;523;729;;
KSP_051_10x523x729;?õciana pionowa;PC polysk;880;729;729;;
KSP_052_10x729x729;?õciana pionowa;PC polysk;1180;229;79;;
KSP_001_10x258x108;?õciana pionowa;fornir dab mat;121;229;154;;
KSP_002_10x258x183;?õciana pionowa;fornir dab mat;167;229;229;;
KSP_003_10x258x258;?õciana pionowa;fornir dab mat;214;229;329;;
KSP_004_10x258x358;?õciana pionowa;fornir dab mat;276;229;374;;
KSP_005_10x258x403;?õciana pionowa;fornir dab mat;304;229;420;;
KSP_006_10x258x449;?õciana pionowa;fornir dab mat;332;329;79;;
KSP_007_10x358x108;?õciana pionowa;fornir dab mat;155;329;154;;
KSP_008_10x358x183;?õciana pionowa;fornir dab mat;215;329;329;;
KSP_009_10x358x358;?õciana pionowa;fornir dab mat;358;329;374;;
KSP_010_10x358x403;?õciana pionowa;fornir dab mat;393;329;420;;
KSP_011_10x358x449;?õciana pionowa;fornir dab mat;429;374;79;;
KSP_012_10x403x108;?õciana pionowa;fornir dab mat;171;374;154;;
KSP_013_10x403x183;?õciana pionowa;fornir dab mat;238;374;329;;
KSP_014_10x403x358;?õciana pionowa;fornir dab mat;393;374;374;;
KSP_015_10x403x403;?õciana pionowa;fornir dab mat;433;374;420;;
KSP_016_10x403x449;?õciana pionowa;fornir dab mat;474;420;79;;
KSP_017_10x449x108;?õciana pionowa;fornir dab mat;186;420;154;;
KSP_018_10x449x183;?õciana pionowa;fornir dab mat;260;420;420;;
KSP_019_10x449x449;?õciana pionowa;fornir dab mat;520;479;79;;
KSP_020_10x508x108;?õciana pionowa;fornir dab mat;206;479;154;;
KSP_021_10x508x183;?õciana pionowa;fornir dab mat;287;79;729;;
KSP_022_10x108x758;?õciana pionowa;fornir dab mat;289;154;729;;
KSP_023_10x183x758;?õciana pionowa;fornir dab mat;407;229;729;;
KSP_024_10x258x758;?õciana pionowa;fornir dab mat;524;329;729;;
KSP_025_10x358x758;?õciana pionowa;fornir dab mat;679;374;729;;
KSP_026_10x403x758;?õciana pionowa;fornir dab mat;749;420;729;;
KSP_028_10x258x386;?õciana pionowa;fornir dab mat;293;329;523;;
KSP_029_10x358x552;?õciana pionowa;fornir dab mat;512;229;523;;
KSP_032_10x247x508;?õciana pionowa;fornir dab mat;358;79;79;;
KSP_033_10x108x108;?õciana pionowa;fornir dab mat;72;229;479;;
KSP_040_10x258x508;?õciana pionowa;fornir dab mat;454;79;154;;
KSP_041_10x79x154;?õciana pionowa;fornir dab mat;55;79;523;;
KSP_042_10x79x523;?õciana pionowa;fornir dab mat;153;154;154;;
KSP_043_10x154x154;?õciana pionowa;fornir dab mat;94;329;479;;
KSP_044_10x329x479;?õciana pionowa;fornir dab mat;544;420;479;;
KSP_045_10x420x479;?õciana pionowa;fornir dab mat;690;420;523;;
KSP_046_10x420x523;?õciana pionowa;fornir dab mat;752;479;479;;
KSP_047_10x479x479;?õciana pionowa;fornir dab mat;785;479;523;;
KSP_048_10x479x523;?õciana pionowa;fornir dab mat;856;479;729;;
KSP_049_10x479x729;?õciana pionowa;fornir dab mat;1187;523;523;;
KSP_050_10x523x523;?õciana pionowa;fornir dab mat;933;523;729;;
KSP_051_10x523x729;?õciana pionowa;fornir dab mat;1295;729;729;;
KSP_052_10x729x729;?õciana pionowa;fornir dab mat;1799;229;79;;
KSP_001_10x258x108;?õciana pionowa;fornir orzech mat;127;229;154;;
KSP_002_10x258x183;?õciana pionowa;fornir orzech mat;177;229;229;;
KSP_003_10x258x258;?õciana pionowa;fornir orzech mat;225;229;329;;
KSP_004_10x258x358;?õciana pionowa;fornir orzech mat;291;229;374;;
KSP_005_10x258x403;?õciana pionowa;fornir orzech mat;321;229;420;;
KSP_006_10x258x449;?õciana pionowa;fornir orzech mat;352;329;79;;
KSP_007_10x358x108;?õciana pionowa;fornir orzech mat;162;329;154;;
KSP_008_10x358x183;?õciana pionowa;fornir orzech mat;227;329;329;;
KSP_009_10x358x358;?õciana pionowa;fornir orzech mat;378;329;374;;
KSP_010_10x358x403;?õciana pionowa;fornir orzech mat;417;329;420;;
KSP_011_10x358x449;?õciana pionowa;fornir orzech mat;457;374;79;;
KSP_012_10x403x108;?õciana pionowa;fornir orzech mat;179;374;154;;
